clip_path,label
E:/action_detection/data/frames/dancing/dance_nsu02_147,dancing
E:/action_detection/data/frames/dancing/dance_nsu01_089,dancing
E:/action_detection/data/frames/dancing/dance_nsu01_018,dancing
E:/action_detection/data/frames/dancing/dance_nsu01_042,dancing
E:/action_detection/data/frames/dancing/dance_nsu01_034,dancing
E:/action_detection/data/frames/dancing/dance_nsu02_003,dancing
E:/action_detection/data/frames/walking/walk_nyc_003,walking
E:/action_detection/data/frames/walking/walk_gulisthan_109,walking
E:/action_detection/data/frames/fighting/fight_july04_011,fighting
E:/action_detection/data/frames/dancing/dance_nsu01_046,dancing
E:/action_detection/data/frames/dancing/dance_nsu01_030,dancing
E:/action_detection/data/frames/fighting/fight_july05_027,fighting
E:/action_detection/data/frames/fighting/fight_july05_011,fighting
E:/action_detection/data/frames/dancing/dance_nsu02_080,dancing
E:/action_detection/data/frames/dancing/dance_nsu02_125,dancing
E:/action_detection/data/frames/dancing/dance_nsu01_106,dancing
E:/action_detection/data/frames/dancing/dance_nsu02_092,dancing
E:/action_detection/data/frames/walking/walk_gulisthan_019,walking
E:/action_detection/data/frames/fighting/fight_july05_002,fighting
E:/action_detection/data/frames/dancing/dance_nsu02_027,dancing
E:/action_detection/data/frames/fighting/fight_july01_009,fighting
E:/action_detection/data/frames/dancing/dance_nsu01_133,dancing
E:/action_detection/data/frames/walking/walk_gulisthan_025,walking
E:/action_detection/data/frames/fighting/fight_july01_010,fighting
E:/action_detection/data/frames/fighting/fight_july01_059,fighting
E:/action_detection/data/frames/fighting/fight_july04_046,fighting
E:/action_detection/data/frames/walking/walk_sadarghat_101,walking
E:/action_detection/data/frames/fighting/fight_july04_013,fighting
E:/action_detection/data/frames/dancing/dance_nsu02_038,dancing
E:/action_detection/data/frames/dancing/dance_nsu02_104,dancing
E:/action_detection/data/frames/dancing/dance_nsu02_025,dancing
E:/action_detection/data/frames/dancing/dance_nsu02_051,dancing
E:/action_detection/data/frames/fighting/fight_july04_032,fighting
E:/action_detection/data/frames/walking/walk_nyc_002,walking
E:/action_detection/data/frames/fighting/fight_july05_018,fighting
E:/action_detection/data/frames/walking/walk_sadarghat_006,walking
E:/action_detection/data/frames/dancing/dance_nsu01_010,dancing
E:/action_detection/data/frames/walking/walk_sadarghat_094,walking
E:/action_detection/data/frames/dancing/dance_nsu01_051,dancing
E:/action_detection/data/frames/walking/walk_sadarghat_015,walking
E:/action_detection/data/frames/fighting/fight_july05_012,fighting
E:/action_detection/data/frames/fighting/fight_july01_011,fighting
E:/action_detection/data/frames/dancing/dance_nsu01_093,dancing
E:/action_detection/data/frames/walking/walk_sadarghat_035,walking
E:/action_detection/data/frames/dancing/dance_nsu01_075,dancing
E:/action_detection/data/frames/fighting/fight_july04_030,fighting
E:/action_detection/data/frames/fighting/fight_july01_005,fighting
E:/action_detection/data/frames/walking/walk_gulisthan_122,walking
E:/action_detection/data/frames/walking/walk_sadarghat_001,walking
E:/action_detection/data/frames/fighting/fight_july02_001,fighting
E:/action_detection/data/frames/walking/walk_gulisthan_042,walking
E:/action_detection/data/frames/walking/walk_gulisthan_018,walking
E:/action_detection/data/frames/walking/walk_gulisthan_048,walking
E:/action_detection/data/frames/dancing/dance_nsu02_001,dancing
E:/action_detection/data/frames/fighting/fight_july03_004,fighting
E:/action_detection/data/frames/fighting/fight_july04_021,fighting
E:/action_detection/data/frames/fighting/fight_july04_037,fighting
E:/action_detection/data/frames/fighting/fight_july01_078,fighting
E:/action_detection/data/frames/fighting/fight_july01_032,fighting
E:/action_detection/data/frames/walking/walk_sadarghat_132,walking
E:/action_detection/data/frames/walking/walk_gulisthan_087,walking
E:/action_detection/data/frames/fighting/fight_july01_048,fighting
E:/action_detection/data/frames/walking/walk_gulisthan_146,walking
E:/action_detection/data/frames/walking/walk_sadarghat_092,walking
E:/action_detection/data/frames/dancing/dance_nsu02_044,dancing
E:/action_detection/data/frames/walking/walk_sadarghat_138,walking
E:/action_detection/data/frames/fighting/fight_july01_068,fighting
E:/action_detection/data/frames/fighting/fight_july02_011,fighting
E:/action_detection/data/frames/fighting/fight_july01_053,fighting
E:/action_detection/data/frames/walking/walk_sadarghat_070,walking
E:/action_detection/data/frames/walking/walk_sadarghat_153,walking
E:/action_detection/data/frames/dancing/dance_nsu02_102,dancing
E:/action_detection/data/frames/walking/walk_nepal_001,walking
E:/action_detection/data/frames/walking/walk_gulisthan_072,walking
E:/action_detection/data/frames/walking/walk_sadarghat_104,walking
E:/action_detection/data/frames/walking/walk_gulisthan_029,walking
E:/action_detection/data/frames/fighting/fight_july04_034,fighting
E:/action_detection/data/frames/walking/walk_sadarghat_113,walking
E:/action_detection/data/frames/dancing/dance_nsu01_009,dancing
E:/action_detection/data/frames/fighting/fight_july01_019,fighting
E:/action_detection/data/frames/dancing/dance_nsu01_029,dancing
E:/action_detection/data/frames/fighting/fight_july01_004,fighting
E:/action_detection/data/frames/dancing/dance_nsu01_014,dancing
E:/action_detection/data/frames/fighting/fight_july04_004,fighting
E:/action_detection/data/frames/fighting/fight_july05_015,fighting
E:/action_detection/data/frames/dancing/dance_nsu02_053,dancing
E:/action_detection/data/frames/dancing/dance_nsu01_065,dancing
E:/action_detection/data/frames/dancing/dance_nsu02_097,dancing
E:/action_detection/data/frames/walking/walk_sadarghat_086,walking
E:/action_detection/data/frames/walking/walk_free_010,walking
E:/action_detection/data/frames/dancing/dance_nsu02_130,dancing
E:/action_detection/data/frames/dancing/dance_nsu02_082,dancing
E:/action_detection/data/frames/walking/walk_gulisthan_076,walking
E:/action_detection/data/frames/dancing/dance_nsu02_074,dancing
E:/action_detection/data/frames/walking/walk_airport_003,walking
E:/action_detection/data/frames/fighting/fight_july01_038,fighting
E:/action_detection/data/frames/fighting/fight_july01_039,fighting
E:/action_detection/data/frames/walking/walk_gulisthan_059,walking
E:/action_detection/data/frames/walking/walk_sadarghat_085,walking
E:/action_detection/data/frames/walking/walk_gulisthan_132,walking
E:/action_detection/data/frames/dancing/dance_nsu02_100,dancing
E:/action_detection/data/frames/dancing/dance_nsu02_084,dancing
E:/action_detection/data/frames/fighting/fight_july02_026,fighting
E:/action_detection/data/frames/dancing/dance_nsu02_094,dancing
E:/action_detection/data/frames/walking/walk_gulisthan_116,walking
E:/action_detection/data/frames/fighting/fight_july01_023,fighting
E:/action_detection/data/frames/walking/walk_sadarghat_120,walking
E:/action_detection/data/frames/fighting/fight_july01_077,fighting
E:/action_detection/data/frames/walking/walk_gulisthan_096,walking
E:/action_detection/data/frames/walking/walk_gulisthan_111,walking
E:/action_detection/data/frames/dancing/dance_nsu01_043,dancing
E:/action_detection/data/frames/walking/walk_sadarghat_079,walking
E:/action_detection/data/frames/walking/walk_sadarghat_144,walking
E:/action_detection/data/frames/fighting/fight_july02_018,fighting
E:/action_detection/data/frames/walking/walk_gulisthan_094,walking
E:/action_detection/data/frames/walking/walk_sadarghat_084,walking
E:/action_detection/data/frames/walking/walk_gulisthan_060,walking
E:/action_detection/data/frames/walking/walk_sadarghat_151,walking
E:/action_detection/data/frames/walking/walk_sadarghat_147,walking
E:/action_detection/data/frames/dancing/dance_nsu02_066,dancing
E:/action_detection/data/frames/dancing/dance_nsu01_057,dancing
E:/action_detection/data/frames/fighting/fight_july01_002,fighting
E:/action_detection/data/frames/fighting/fight_july05_001,fighting
E:/action_detection/data/frames/dancing/dance_nsu01_138,dancing
E:/action_detection/data/frames/fighting/fight_july03_001,fighting
E:/action_detection/data/frames/fighting/fight_july02_016,fighting
E:/action_detection/data/frames/walking/walk_gulisthan_035,walking
E:/action_detection/data/frames/dancing/dance_nsu02_109,dancing
E:/action_detection/data/frames/fighting/fight_july04_017,fighting
E:/action_detection/data/frames/walking/walk_free_003,walking
E:/action_detection/data/frames/fighting/fight_july01_030,fighting
E:/action_detection/data/frames/dancing/dance_nsu01_148,dancing
E:/action_detection/data/frames/dancing/dance_nsu01_006,dancing
E:/action_detection/data/frames/fighting/fight_july05_025,fighting
E:/action_detection/data/frames/dancing/dance_nsu02_002,dancing
E:/action_detection/data/frames/walking/walk_sadarghat_039,walking
E:/action_detection/data/frames/dancing/dance_nsu02_146,dancing
E:/action_detection/data/frames/fighting/fight_july02_017,fighting
E:/action_detection/data/frames/walking/walk_gulisthan_043,walking
E:/action_detection/data/frames/fighting/fight_july05_034,fighting
E:/action_detection/data/frames/dancing/dance_nsu01_120,dancing
E:/action_detection/data/frames/dancing/dance_nsu02_054,dancing
E:/action_detection/data/frames/dancing/dance_nsu01_085,dancing
E:/action_detection/data/frames/fighting/fight_july04_033,fighting
E:/action_detection/data/frames/dancing/dance_nsu01_107,dancing
E:/action_detection/data/frames/dancing/dance_nsu01_017,dancing
E:/action_detection/data/frames/fighting/fight_july01_015,fighting
E:/action_detection/data/frames/dancing/dance_nsu02_033,dancing
E:/action_detection/data/frames/dancing/dance_nsu01_040,dancing
E:/action_detection/data/frames/dancing/dance_nsu02_030,dancing
E:/action_detection/data/frames/fighting/fight_july01_007,fighting
E:/action_detection/data/frames/walking/walk_airport_008,walking
E:/action_detection/data/frames/walking/walk_gulisthan_062,walking
E:/action_detection/data/frames/walking/walk_gulisthan_124,walking
E:/action_detection/data/frames/fighting/fight_july02_023,fighting
E:/action_detection/data/frames/dancing/dance_nsu01_139,dancing
E:/action_detection/data/frames/fighting/fight_july01_071,fighting
E:/action_detection/data/frames/dancing/dance_nsu01_086,dancing
E:/action_detection/data/frames/walking/walk_gulisthan_011,walking
E:/action_detection/data/frames/walking/walk_gulisthan_034,walking
E:/action_detection/data/frames/walking/walk_sadarghat_064,walking
E:/action_detection/data/frames/walking/walk_gulisthan_154,walking
E:/action_detection/data/frames/walking/walk_gulisthan_055,walking
E:/action_detection/data/frames/walking/walk_sadarghat_002,walking
E:/action_detection/data/frames/fighting/fight_july04_027,fighting
E:/action_detection/data/frames/dancing/dance_nsu01_062,dancing
E:/action_detection/data/frames/fighting/fight_july01_018,fighting
E:/action_detection/data/frames/dancing/dance_nsu02_115,dancing
E:/action_detection/data/frames/walking/walk_airport_009,walking
E:/action_detection/data/frames/dancing/dance_nsu02_052,dancing
E:/action_detection/data/frames/dancing/dance_nsu02_118,dancing
E:/action_detection/data/frames/walking/walk_sadarghat_111,walking
E:/action_detection/data/frames/walking/walk_sadarghat_145,walking
E:/action_detection/data/frames/walking/walk_gulisthan_022,walking
E:/action_detection/data/frames/walking/walk_gulisthan_003,walking
E:/action_detection/data/frames/dancing/dance_nsu02_045,dancing
E:/action_detection/data/frames/fighting/fight_july04_020,fighting
E:/action_detection/data/frames/walking/walk_sadarghat_055,walking
E:/action_detection/data/frames/fighting/fight_july02_010,fighting
E:/action_detection/data/frames/walking/walk_gulisthan_117,walking
E:/action_detection/data/frames/walking/walk_gulisthan_009,walking
E:/action_detection/data/frames/walking/walk_gulisthan_002,walking
E:/action_detection/data/frames/fighting/fight_july04_007,fighting
E:/action_detection/data/frames/dancing/dance_nsu01_141,dancing
E:/action_detection/data/frames/walking/walk_sadarghat_036,walking
E:/action_detection/data/frames/fighting/fight_july04_005,fighting
E:/action_detection/data/frames/dancing/dance_nsu01_130,dancing
E:/action_detection/data/frames/dancing/dance_nsu02_143,dancing
E:/action_detection/data/frames/dancing/dance_nsu02_037,dancing
E:/action_detection/data/frames/walking/walk_sadarghat_152,walking
E:/action_detection/data/frames/walking/walk_sadarghat_071,walking
E:/action_detection/data/frames/walking/walk_nepal_004,walking
E:/action_detection/data/frames/walking/walk_sadarghat_149,walking
E:/action_detection/data/frames/dancing/dance_nsu02_046,dancing
E:/action_detection/data/frames/walking/walk_sadarghat_074,walking
E:/action_detection/data/frames/dancing/dance_nsu02_005,dancing
E:/action_detection/data/frames/walking/walk_gulisthan_098,walking
E:/action_detection/data/frames/fighting/fight_july01_043,fighting
E:/action_detection/data/frames/fighting/fight_july02_003,fighting
E:/action_detection/data/frames/dancing/dance_nsu01_119,dancing
E:/action_detection/data/frames/walking/walk_gulisthan_112,walking
E:/action_detection/data/frames/dancing/dance_nsu01_035,dancing
E:/action_detection/data/frames/walking/walk_gulisthan_069,walking
E:/action_detection/data/frames/dancing/dance_nsu01_032,dancing
E:/action_detection/data/frames/walking/walk_sadarghat_024,walking
E:/action_detection/data/frames/walking/walk_gulisthan_037,walking
E:/action_detection/data/frames/walking/walk_gulisthan_133,walking
E:/action_detection/data/frames/fighting/fight_july04_001,fighting
E:/action_detection/data/frames/walking/walk_nepal_009,walking
E:/action_detection/data/frames/dancing/dance_nsu02_090,dancing
E:/action_detection/data/frames/walking/walk_sadarghat_119,walking
E:/action_detection/data/frames/walking/walk_sadarghat_014,walking
E:/action_detection/data/frames/walking/walk_sadarghat_038,walking
E:/action_detection/data/frames/walking/walk_gulisthan_047,walking
E:/action_detection/data/frames/walking/walk_gulisthan_031,walking
E:/action_detection/data/frames/walking/walk_nepal_007,walking
E:/action_detection/data/frames/dancing/dance_nsu01_125,dancing
E:/action_detection/data/frames/fighting/fight_july02_020,fighting
E:/action_detection/data/frames/walking/walk_gulisthan_104,walking
E:/action_detection/data/frames/walking/walk_gulisthan_058,walking
E:/action_detection/data/frames/walking/walk_gulisthan_079,walking
E:/action_detection/data/frames/dancing/dance_nsu02_065,dancing
E:/action_detection/data/frames/walking/walk_sadarghat_083,walking
E:/action_detection/data/frames/walking/walk_gulisthan_015,walking
E:/action_detection/data/frames/walking/walk_sadarghat_025,walking
E:/action_detection/data/frames/fighting/fight_july05_026,fighting
E:/action_detection/data/frames/dancing/dance_nsu01_024,dancing
E:/action_detection/data/frames/walking/walk_sadarghat_099,walking
E:/action_detection/data/frames/fighting/fight_july02_029,fighting
E:/action_detection/data/frames/dancing/dance_nsu01_102,dancing
E:/action_detection/data/frames/dancing/dance_nsu01_116,dancing
E:/action_detection/data/frames/fighting/fight_july01_014,fighting
E:/action_detection/data/frames/dancing/dance_nsu01_121,dancing
E:/action_detection/data/frames/fighting/fight_july04_025,fighting
E:/action_detection/data/frames/dancing/dance_nsu02_024,dancing
E:/action_detection/data/frames/dancing/dance_nsu02_116,dancing
E:/action_detection/data/frames/walking/walk_sadarghat_027,walking
E:/action_detection/data/frames/dancing/dance_nsu01_044,dancing
E:/action_detection/data/frames/dancing/dance_nsu01_087,dancing
E:/action_detection/data/frames/walking/walk_gulisthan_041,walking
E:/action_detection/data/frames/walking/walk_gulisthan_138,walking
E:/action_detection/data/frames/walking/walk_gulisthan_121,walking
E:/action_detection/data/frames/dancing/dance_nsu02_142,dancing
E:/action_detection/data/frames/fighting/fight_july04_009,fighting
E:/action_detection/data/frames/walking/walk_sadarghat_080,walking
E:/action_detection/data/frames/dancing/dance_nsu02_017,dancing
E:/action_detection/data/frames/fighting/fight_july05_035,fighting
E:/action_detection/data/frames/fighting/fight_july02_021,fighting
E:/action_detection/data/frames/walking/walk_sadarghat_032,walking
E:/action_detection/data/frames/dancing/dance_nsu02_008,dancing
E:/action_detection/data/frames/walking/walk_gulisthan_155,walking
E:/action_detection/data/frames/dancing/dance_nsu02_133,dancing
E:/action_detection/data/frames/dancing/dance_nsu02_060,dancing
E:/action_detection/data/frames/walking/walk_sadarghat_117,walking
E:/action_detection/data/frames/dancing/dance_nsu02_144,dancing
E:/action_detection/data/frames/walking/walk_sadarghat_142,walking
E:/action_detection/data/frames/walking/walk_gulisthan_023,walking
E:/action_detection/data/frames/dancing/dance_nsu02_068,dancing
E:/action_detection/data/frames/fighting/fight_july01_061,fighting
E:/action_detection/data/frames/fighting/fight_july02_027,fighting
E:/action_detection/data/frames/fighting/fight_july05_024,fighting
E:/action_detection/data/frames/dancing/dance_nsu02_004,dancing
E:/action_detection/data/frames/dancing/dance_nsu02_059,dancing
E:/action_detection/data/frames/walking/walk_sadarghat_058,walking
E:/action_detection/data/frames/dancing/dance_nsu02_062,dancing
E:/action_detection/data/frames/walking/walk_gulisthan_024,walking
E:/action_detection/data/frames/fighting/fight_july05_029,fighting
E:/action_detection/data/frames/fighting/fight_july05_004,fighting
E:/action_detection/data/frames/dancing/dance_nsu01_064,dancing
E:/action_detection/data/frames/fighting/fight_july05_010,fighting
E:/action_detection/data/frames/walking/walk_gulisthan_101,walking
E:/action_detection/data/frames/fighting/fight_july01_057,fighting
E:/action_detection/data/frames/fighting/fight_july02_028,fighting
E:/action_detection/data/frames/walking/walk_gulisthan_149,walking
E:/action_detection/data/frames/walking/walk_gulisthan_046,walking
E:/action_detection/data/frames/fighting/fight_july05_031,fighting
E:/action_detection/data/frames/dancing/dance_nsu02_119,dancing
E:/action_detection/data/frames/walking/walk_gulisthan_140,walking
E:/action_detection/data/frames/fighting/fight_july01_036,fighting
E:/action_detection/data/frames/fighting/fight_july04_018,fighting
E:/action_detection/data/frames/dancing/dance_nsu01_131,dancing
E:/action_detection/data/frames/dancing/dance_nsu01_098,dancing
E:/action_detection/data/frames/dancing/dance_nsu02_148,dancing
E:/action_detection/data/frames/dancing/dance_nsu02_050,dancing
E:/action_detection/data/frames/walking/walk_sadarghat_110,walking
E:/action_detection/data/frames/dancing/dance_nsu02_114,dancing
E:/action_detection/data/frames/fighting/fight_july01_013,fighting
E:/action_detection/data/frames/walking/walk_sadarghat_136,walking
E:/action_detection/data/frames/walking/walk_free_004,walking
E:/action_detection/data/frames/dancing/dance_nsu02_029,dancing
E:/action_detection/data/frames/walking/walk_gulisthan_021,walking
E:/action_detection/data/frames/walking/walk_sadarghat_065,walking
E:/action_detection/data/frames/walking/walk_gulisthan_134,walking
E:/action_detection/data/frames/fighting/fight_july01_072,fighting
E:/action_detection/data/frames/fighting/fight_july04_029,fighting
E:/action_detection/data/frames/dancing/dance_nsu02_150,dancing
E:/action_detection/data/frames/fighting/fight_july04_042,fighting
E:/action_detection/data/frames/dancing/dance_nsu01_134,dancing
E:/action_detection/data/frames/fighting/fight_july04_044,fighting
E:/action_detection/data/frames/dancing/dance_nsu01_015,dancing
E:/action_detection/data/frames/walking/walk_gulisthan_119,walking
E:/action_detection/data/frames/walking/walk_sadarghat_043,walking
E:/action_detection/data/frames/walking/walk_sadarghat_028,walking
E:/action_detection/data/frames/fighting/fight_july01_060,fighting
E:/action_detection/data/frames/dancing/dance_nsu02_113,dancing
E:/action_detection/data/frames/fighting/fight_july01_031,fighting
E:/action_detection/data/frames/fighting/fight_july01_067,fighting
E:/action_detection/data/frames/fighting/fight_july01_058,fighting
E:/action_detection/data/frames/walking/walk_airport_002,walking
E:/action_detection/data/frames/walking/walk_sadarghat_030,walking
E:/action_detection/data/frames/walking/walk_sadarghat_060,walking
E:/action_detection/data/frames/dancing/dance_nsu02_057,dancing
E:/action_detection/data/frames/dancing/dance_nsu01_099,dancing
E:/action_detection/data/frames/fighting/fight_july01_040,fighting
E:/action_detection/data/frames/fighting/fight_july02_006,fighting
E:/action_detection/data/frames/walking/walk_gulisthan_135,walking
E:/action_detection/data/frames/dancing/dance_nsu01_117,dancing
E:/action_detection/data/frames/walking/walk_sadarghat_034,walking
E:/action_detection/data/frames/dancing/dance_nsu02_032,dancing
E:/action_detection/data/frames/walking/walk_sadarghat_069,walking
E:/action_detection/data/frames/dancing/dance_nsu01_103,dancing
E:/action_detection/data/frames/dancing/dance_nsu01_114,dancing
E:/action_detection/data/frames/walking/walk_gulisthan_148,walking
E:/action_detection/data/frames/walking/walk_gulisthan_136,walking
E:/action_detection/data/frames/dancing/dance_nsu02_048,dancing
E:/action_detection/data/frames/walking/walk_gulisthan_065,walking
E:/action_detection/data/frames/fighting/fight_july01_062,fighting
E:/action_detection/data/frames/walking/walk_sadarghat_081,walking
E:/action_detection/data/frames/dancing/dance_nsu01_137,dancing
E:/action_detection/data/frames/fighting/fight_july04_015,fighting
E:/action_detection/data/frames/walking/walk_free_006,walking
E:/action_detection/data/frames/dancing/dance_nsu02_063,dancing
E:/action_detection/data/frames/fighting/fight_july05_016,fighting
E:/action_detection/data/frames/fighting/fight_july02_002,fighting
E:/action_detection/data/frames/dancing/dance_nsu01_092,dancing
E:/action_detection/data/frames/dancing/dance_nsu01_013,dancing
E:/action_detection/data/frames/dancing/dance_nsu02_064,dancing
E:/action_detection/data/frames/dancing/dance_nsu01_091,dancing
E:/action_detection/data/frames/walking/walk_gulisthan_014,walking
E:/action_detection/data/frames/dancing/dance_nsu01_122,dancing
E:/action_detection/data/frames/walking/walk_gulisthan_066,walking
E:/action_detection/data/frames/fighting/fight_july02_008,fighting
E:/action_detection/data/frames/fighting/fight_july01_020,fighting
E:/action_detection/data/frames/dancing/dance_nsu02_061,dancing
E:/action_detection/data/frames/dancing/dance_nsu02_139,dancing
E:/action_detection/data/frames/dancing/dance_nsu02_034,dancing
E:/action_detection/data/frames/dancing/dance_nsu01_053,dancing
E:/action_detection/data/frames/fighting/fight_july05_007,fighting
E:/action_detection/data/frames/walking/walk_sadarghat_097,walking
E:/action_detection/data/frames/fighting/fight_july01_052,fighting
E:/action_detection/data/frames/fighting/fight_july04_036,fighting
E:/action_detection/data/frames/dancing/dance_nsu02_036,dancing
E:/action_detection/data/frames/dancing/dance_nsu01_021,dancing
E:/action_detection/data/frames/dancing/dance_nsu02_039,dancing
E:/action_detection/data/frames/dancing/dance_nsu02_010,dancing
E:/action_detection/data/frames/walking/walk_gulisthan_139,walking
E:/action_detection/data/frames/walking/walk_gulisthan_102,walking
E:/action_detection/data/frames/walking/walk_sadarghat_112,walking
E:/action_detection/data/frames/dancing/dance_nsu01_076,dancing
E:/action_detection/data/frames/walking/walk_gulisthan_106,walking
E:/action_detection/data/frames/fighting/fight_july01_001,fighting
E:/action_detection/data/frames/fighting/fight_july05_020,fighting
E:/action_detection/data/frames/dancing/dance_nsu01_019,dancing
E:/action_detection/data/frames/dancing/dance_nsu02_132,dancing
E:/action_detection/data/frames/dancing/dance_nsu01_077,dancing
E:/action_detection/data/frames/fighting/fight_july01_056,fighting
E:/action_detection/data/frames/dancing/dance_nsu01_039,dancing
E:/action_detection/data/frames/walking/walk_sadarghat_048,walking
E:/action_detection/data/frames/walking/walk_sadarghat_067,walking
E:/action_detection/data/frames/dancing/dance_nsu02_140,dancing
E:/action_detection/data/frames/walking/walk_gulisthan_056,walking
E:/action_detection/data/frames/fighting/fight_july01_064,fighting
E:/action_detection/data/frames/dancing/dance_nsu02_135,dancing
E:/action_detection/data/frames/dancing/dance_nsu02_079,dancing
E:/action_detection/data/frames/walking/walk_sadarghat_072,walking
E:/action_detection/data/frames/walking/walk_gulisthan_010,walking
E:/action_detection/data/frames/dancing/dance_nsu01_135,dancing
E:/action_detection/data/frames/fighting/fight_july01_029,fighting
E:/action_detection/data/frames/dancing/dance_nsu01_067,dancing
E:/action_detection/data/frames/walking/walk_sadarghat_007,walking
E:/action_detection/data/frames/walking/walk_gulisthan_044,walking
E:/action_detection/data/frames/dancing/dance_nsu01_002,dancing
E:/action_detection/data/frames/dancing/dance_nsu01_023,dancing
E:/action_detection/data/frames/walking/walk_sadarghat_019,walking
E:/action_detection/data/frames/fighting/fight_july04_014,fighting
E:/action_detection/data/frames/walking/walk_gulisthan_114,walking
E:/action_detection/data/frames/walking/walk_gulisthan_070,walking
E:/action_detection/data/frames/dancing/dance_nsu01_048,dancing
E:/action_detection/data/frames/dancing/dance_nsu01_027,dancing
E:/action_detection/data/frames/walking/walk_gulisthan_026,walking
E:/action_detection/data/frames/walking/walk_gulisthan_123,walking
E:/action_detection/data/frames/walking/walk_sadarghat_059,walking
E:/action_detection/data/frames/dancing/dance_nsu02_111,dancing
E:/action_detection/data/frames/fighting/fight_july04_045,fighting
E:/action_detection/data/frames/fighting/fight_july04_026,fighting
E:/action_detection/data/frames/fighting/fight_july01_027,fighting
E:/action_detection/data/frames/fighting/fight_july01_054,fighting
E:/action_detection/data/frames/walking/walk_free_007,walking
E:/action_detection/data/frames/walking/walk_sadarghat_061,walking
E:/action_detection/data/frames/walking/walk_sadarghat_105,walking
E:/action_detection/data/frames/dancing/dance_nsu01_108,dancing
E:/action_detection/data/frames/fighting/fight_july01_012,fighting
E:/action_detection/data/frames/dancing/dance_nsu01_145,dancing
E:/action_detection/data/frames/dancing/dance_nsu01_140,dancing
E:/action_detection/data/frames/dancing/dance_nsu01_080,dancing
E:/action_detection/data/frames/fighting/fight_july05_005,fighting
E:/action_detection/data/frames/fighting/fight_july02_005,fighting
E:/action_detection/data/frames/dancing/dance_nsu01_055,dancing
E:/action_detection/data/frames/walking/walk_gulisthan_020,walking
E:/action_detection/data/frames/walking/walk_gulisthan_075,walking
E:/action_detection/data/frames/dancing/dance_nsu01_069,dancing
E:/action_detection/data/frames/fighting/fight_july04_039,fighting
E:/action_detection/data/frames/dancing/dance_nsu01_054,dancing
E:/action_detection/data/frames/fighting/fight_july01_042,fighting
E:/action_detection/data/frames/walking/walk_sadarghat_062,walking
E:/action_detection/data/frames/dancing/dance_nsu02_136,dancing
E:/action_detection/data/frames/fighting/fight_july04_008,fighting
E:/action_detection/data/frames/fighting/fight_july01_044,fighting
E:/action_detection/data/frames/fighting/fight_july05_037,fighting
E:/action_detection/data/frames/walking/walk_sadarghat_102,walking
